6吋,"6""Sandwiches",重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
起司蛋,Egg & Cheese,125,276,7.6,2.7,0.2,37,3,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火腿起司蛋,"Ham, Egg & Cheese",153,309,8.4,3.0,0.2,39,4,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
培根起司蛋,"Bacon, Egg & Cheese",135,324,11.1,4.3,0.2,37,3,18,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切牛起司蛋,"Steak, Egg & Cheese",160,333,10.0,3.8,0.2,37,4,23,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
素食蔬菜,Veggie DelightTM,153,210,2.2,0.4,0.1,38,5,8,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火腿,Ham,209,277,3.9,0.9,0.1,43,5,17,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩切雞肉,Sliced Chicken,195,261,2.4,0.4,0.1,50,5,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利牛肉丸,Italian Meatballs,273,362,8.8,3.3,0.1,50,10,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞火腿,Turkey Breast & Ham,209,270,3.6,0.8,0.1,42,5,17,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮮嫩雞柳,Chicken Strips,217,284,3.6,0.4,0.1,39,5,23,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮪魚,Tuna,216,345,10.3,4.5,0.3,42,6,20,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞胸肉,Turkey Breast,195,251,3.1,0.6,0.1,40,5,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
香烤雞肉,Roasted Chicken Breast,220,291,4.5,1.0,0.1,41,6,21,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
照燒雞肉,Chicken Teriyaki,245,322,4.0,0.4,0.1,46,11,25,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
百味俱樂部,SUBWAY ClubTM,214,285,3.7,0.8,0.1,41,5,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
哈燒起司總匯,SUBWAY MeltTM,227,358,24.4,3.6,0.7,39,5,20,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
燒烤牛肉,Roast Beef,212,306,3.6,0.9,0.1,40,6,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
水牛城辣雞,Buffalo Chicken,245,316,3.9,0.4,0.3,44,10,25,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利經典,Italian B.M.TTM,217,385,14.8,5.3,0.1,42,5,21,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切嫩牛,Diced Beef,236,366,10.6,4.8,0.3,40,6,26,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鄉村培根雞肉,Chicken Bacon Ranch,259,465,19.5,5.6,0.2,42,7,30,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
沙拉,Salad,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
素食蔬菜,Veggie DelightTM,273,52,0.9,0.2,0.0,10,6,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火腿,Ham,329,119,2.6,0.7,0.0,15,7,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩切雞肉,Sliced Chicken,315,103,1.1,0.2,0.0,22,7,7,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利牛肉丸,Italian Meatballs,393,204,7.5,3.1,0.0,22,12,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞火腿,Turkey Breast & Ham,329,112,2.3,0.6,0.0,14,7,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮮嫩雞柳,Chicken Strips,337,126,2.3,0.2,0.0,10,6,18,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮪魚,Tuna,347,300,23.1,3.4,0.7,10,6,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞胸肉,Turkey Breast,315,92,1.8,0.4,0.1,12,6,9,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
香烤雞肉,Roasted Chicken Breast,340,133,3.3,0.8,0.0,13,8,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
照燒雞肉,Chicken Teriyaki,365,164,2.5,0.2,0.0,18,12,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
百味俱樂部,SUBWAY ClubTM,334,126,2.4,0.6,0.0,13,7,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
哈燒起司總匯,SUBWAY MeltTM,336,187,9.0,4.3,0.2,14,7,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
燒烤牛肉,Roast Beef,332,148,2.3,0.7,0.0,11,7,14,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
水牛城辣雞,Buffalo Chicken,365,158,2.6,0.2,0.3,16,11,19,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利經典,Italian B.M.TTM,337,227,13.5,5.1,0.0,14,7,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切嫩牛,Diced Beef,356,207,9.3,4.6,0.2,12,7,20,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鄉村培根雞肉,Chicken Bacon Ranch,379,306,18.2,5.4,0.2,14,9,24,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
一份肉,"Individual Meats (amount on 6"" sub or salad)meat",重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
特選火腿,Ham,56,67,1.7,0.6,0.0,4,1,8,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩切雞肉,Sliced Chicken,42,51,0.2,0.0,0.0,11,1,4,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利牛肉丸,Italian Meatballs,120,152,6.6,2.9,0.0,12,6,10,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮮嫩雞柳,Chicken Strips,64,74,1.4,0.0,0.0,0,0,15,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
鮪魚,Tuna,74,248,22.2,3.2,0.7,0,0,12,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
火雞胸肉,Turkey Breast,42,40,0.9,0.3,0.1,1,0,7,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
香烤雞肉,Roasted Chicken Breast,67,81,2.3,0.7,0.0,2,2,13,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
百味俱樂部,SUBWAY ClubTM,61,74,1.5,0.5,0.0,2,1,10,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
燒烤牛肉,Roast Beef,59,96,1.4,0.5,0.0,1,1,11,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
義大利經典,Italian B.M.TTM,64,175,12.6,5.0,0.0,3,1,12,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
厚切嫩牛,Diced Beef,71,115,5.0,2.3,0.1,1,1,16,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
配料,Extra,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
奶油蕈菇濃湯,Cream of Mushroom Soup,243,151,7.6,4.1,0.1,14,6,6,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
培根,Bacon (2pc),9,48,3.6,1.7,0.0,0,0,3,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
嫩蛋餅,Egg Patty (1pc),45,41,2.1,0.2,0.0,1,0,5,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
三角切片起司,American Cheese,11,40,3.4,2.1,0.1,1,0,2,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
切絲巧達起司,Shredded Cheese,14,54,4.4,2.7,0.1,0,0,3,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
蔬菜/醃漬物,Only Vegetable,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
生菜,Lettuce,21,3,0.0,0,0,1,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
番茄,Tomato,35,6,0.1,0,0,1,1,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
大黃瓜,Cucumber,14,2,0.0,0,0,1,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
青椒,Green Pepper,7,1,0.0,0,0,0,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
洋蔥,Onion,7,3,0.0,0,0,1,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
醃黃瓜,Pickle,10,1,0.0,0,0,0,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
黑橄欖,Olive,3,3,0.3,0,0,0,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
醃辣椒,Jalapeno,4,1,0.0,0,0,0,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
醬料,Sauce,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
鄉村醬,Ranch Sauce,21,92,8.9,1.4,0.0,2,2,1,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
水牛城辣醬,Buffalo Sauce,14,16,0.1,0.0,0.2,4,3,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
墨西哥西南醬,Chipotle Southwest,21,101,10.2,1.8,0.2,2,1,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
甜蔥醬,Sweet Onion,21,39,0.1,0.0,0.0,9,8,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
蜂蜜芥末醬,Honey Mustard,21,32,0.2,0.0,0.0,7,6,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
美乃滋,Mayonnaise,14,48,4.9,0.8,0.1,1,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
黃芥末,Yellow Mustard,10,7,0.4,0.0,0.0,0,0,0,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
麵包,Bread,重量 Serving Size(g),Cal_kcal,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Protein_g,Brand,Resource,UpdateTime,Portions
白麵包,Italian White,67,195,2.1,0.3,0.1,35,3,7,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
小麥麵包,Wheat,69,195,2.1,0.3,0.1,35,3,8,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
巴馬乾酪麵包,Parmesan Oregano,71,209,3.1,0.9,0.1,36,3,9,Subway,http://www.twsubway.com.tw/GoWeb2/include/,20190101,一份
